"Categoria","Consulta","Estado","Filas","Duracion_seg","Error"
"01-inventario","01-inventario-maestro","OK","140","1.82",""
"01-inventario","02-resumen-por-tipo","OK","32","0.55",""
"01-inventario","03-resumen-por-suscripcion","OK","2","0.82",""
"01-inventario","04-resumen-por-ubicacion","OK","6","0.82",""
"02-etiquetado","01-cumplimiento-tags-obligatorios","OK","140","0.45",""
"02-etiquetado","02-cobertura-por-suscripcion","OK","2","0.61",""
"02-etiquetado","03-validacion-formato-tags","OK","0","0.68",""
"03-finops-waste","01-discos-no-asociados","OK","1","0.47",""
"03-finops-waste","02-public-ips-huerfanas","OK","0","0.65",""
"03-finops-waste","03-nics-sin-vm","OK","1","0.61",""
"03-finops-waste","04-vms-apagadas","OK","0","0.52",""
"03-finops-waste","05-snapshots-antiguos","OK","0","0.51",""
"04-monitoreo-recursos","01-vms-detalle","OK","4","0.61",""
"04-monitoreo-recursos","02-app-services-detalle","OK","7","0.61",""
"04-monitoreo-recursos","03-sql-databases-detalle","OK","0","0.36",""
"04-monitoreo-recursos","04-storage-accounts-detalle","ERROR","0","0.39","Operation returned an invalid status code 'BadRequest'"
"04-monitoreo-recursos","05-aks-clusters-detalle","OK","0","0.42",""
"05-seguridad","01-nsgs-reglas-permisivas","OK","3","0.46",""
"05-seguridad","02-vms-con-ip-publica","OK","3","0.62",""
"06-gobierno","01-azure-policy-compliance","OK","2","1.67",""
